Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iceland,ISL,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,61.14626794,61.68780104,61.79275823,61.54444476,61.0944228,60.4972703,59.83280041,58.99363035,57.99416359,56.87850136,55.70870415,54.35763418,53.14520539,51.9825972,50.76435869,49.43849904,48.42577039,47.24415221,45.98782153,44.84780847,43.92603169,43.13321717,42.54332207,42.0951251,41.65466159,41.16184463,40.70864923,40.18622045,39.63212477,39.13573107,38.74024866,38.49340889,38.3881716,38.33330386,38.20238513,37.94163451,37.75111768,37.26842592,36.6345948,36.04900748,35.59656751,34.95152919,34.59621665,34.35377725,34.03549459,33.59982438,33.08105263,32.49163606,31.90388449,31.39022061,30.94962918,30.95631343,30.88529121,30.79996473,30.75905796,30.78974378,30.66924779,30.68490105,
Iceland,ISL,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.10276885,14.29568466,14.44681735,14.55849293,14.65957387,14.75678779,14.84253586,14.90393028,14.94206506,14.96277895,14.96635555,15.01442272,15.04165728,15.05593756,15.05986963,15.07222532,15.20566069,15.34243764,15.47879602,15.61438178,15.75396159,15.79005365,15.82008898,15.85373982,15.89867056,15.9670648,16.06838929,16.17917358,16.29652292,16.42467793,16.56569966,16.75268131,16.93818052,17.12793487,17.31088507,17.48349682,17.57852662,17.66420188,17.74242612,17.7954398,17.81001271,17.84304894,17.84207066,17.83026009,17.84037315,17.88859449,17.78181692,17.70504922,17.67694142,17.72538297,17.86538147,18.30606334,18.83367879,19.44110591,20.09685788,20.78736117,21.40486726,22.03958194,
Iceland,ISL,Age dependency ratio (% of working-age population),SP.POP.DPND,75.24903679,75.9834857,76.23957558,76.10293769,75.75399667,75.25405809,74.67533627,73.89756063,72.93622865,71.8412803,70.67505969,69.3720569,68.18686268,67.03853477,65.82422832,64.51072437,63.63143108,62.58658984,61.46661755,60.46219025,59.67999328,58.92327082,58.36341105,57.94886492,57.55333215,57.12890943,56.77703853,56.36539403,55.92864769,55.560409,55.30594832,55.2460902,55.32635212,55.46123873,55.5132702,55.42513133,55.32964431,54.9326278,54.37702092,53.84444728,53.40658022,52.79457813,52.43828731,52.18403734,51.87586774,51.48841887,50.86286954,50.19668527,49.58082591,49.11560358,48.81501065,49.26237677,49.71896999,50.24107064,50.85591584,51.57710494,52.07411504,52.72448299,
Iceland,ISL,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,,,1.045,,,,,1.053,,,,,1.066,,,,,1.053,,,,,1.054,,,,,1.057,,,1.058,,1.058,,,,,1.042,,,,,1.043,,,,,1.05,1.051,1.051,1.052,1.052,1.053,1.053,1.053,1.053,1.053,1.053,
Iceland,ISL,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,1.082092496,1.105429969,1.116453339,1.116059566,1.104423965,1.08841018,1.135256879,1.167463348,1.194698155,1.216287678,1.233612307,1.319019284,1.394542439,1.448372672,1.483371733,1.494772381,1.575730337,1.638862154,1.688726205,1.723155172,1.744261839,1.804491868,1.850748302,1.882313326,1.900235553,1.902261147,1.948395607,1.979105415,1.984601406,1.97748803,1.953817441,1.998082336,2.024077563,2.031804801,2.023679759,2.009282782,2.04768832,2.069747868,2.072542619,2.066481158,2.054311346,2.143109416,2.227450651,2.308321889,2.37927086,2.440063283,2.515004287,2.571808545,2.616321808,2.652754832,2.686173179,2.787430775,2.878093156,2.955832872,3.005512532,3.029845792,3.102834222,3.145802721,
Iceland,ISL,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,1.744045495,1.751100079,1.740718198,1.71321796,1.677719754,1.639171898,1.6707632,1.690296673,1.699705236,1.71144737,1.728539201,1.838939021,1.947976879,2.048767509,2.13735733,2.213262894,2.341643278,2.456044705,2.561169997,2.652829953,2.733384573,2.815080163,2.872019826,2.912198992,2.940804719,2.959200666,3.007834359,3.037181678,3.05899959,3.07766998,3.092442533,3.145168834,3.183435332,3.208351803,3.224463536,3.233133433,3.263733735,3.279833032,3.289339658,3.294882233,3.309778729,3.417291637,3.517401067,3.615915872,3.705794477,3.792071803,3.86266957,3.916970244,3.958222717,3.995181307,4.034977353,4.114657299,4.194463852,4.268607539,4.328101786,4.365793184,4.390756176,4.382754138,
Iceland,ISL,"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,1.220735597,1.228010116,1.243150759,1.272307905,1.318621612,1.383659445,1.442658875,1.514194951,1.585005845,1.64032356,1.669972425,1.665727466,1.6423564,1.620355307,1.611881661,1.622740144,1.629662921,1.645991516,1.668390759,1.693339764,1.718189166,1.728766888,1.733267499,1.729101776,1.722946822,1.719525546,1.714718407,1.718929978,1.727161143,1.738485687,1.752344659,1.762240574,1.775950007,1.795848381,1.829731254,1.876671609,1.901477614,1.943133165,2.003627131,2.070076289,2.133405539,2.177721269,2.205743336,2.225089128,2.244194099,2.270360905,2.273739341,2.287573178,2.299269373,2.295327056,2.272868102,2.231786534,2.185128427,2.149641321,2.144368909,2.177022663,2.208858217,2.260599535,
Iceland,ISL,"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,1.558704686,1.55252172,1.55812538,1.586111745,1.63500251,1.707514536,1.76617612,1.847033273,1.935719133,2.018887008,2.08473503,2.109457401,2.115606936,2.108634092,2.106408321,2.112238751,2.111422963,2.11621462,2.128905019,2.147783955,2.17239582,2.162421913,2.157037139,2.154720168,2.163050348,2.18734388,2.208762632,2.23822309,2.268100958,2.294523546,2.312835172,2.311133976,2.310595245,2.316463629,2.339628354,2.38005997,2.402707778,2.452342108,2.524664591,2.602474224,2.668807994,2.691382482,2.697866966,2.699939491,2.711708053,2.737471952,2.72182214,2.719349675,2.71759541,2.696811121,2.652868646,2.599222662,2.527560175,2.455186997,2.417476262,2.429627109,2.460030539,2.537636212,
Iceland,ISL,"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,1.954529572,2.022020253,2.111623676,2.205546285,2.279898857,2.327016851,2.322254687,2.293840002,2.255661443,2.226922851,2.215664457,2.213965749,2.225614352,2.241352062,2.259938866,2.275284978,2.280449438,2.289416462,2.304094498,2.326478713,2.350886036,2.343171844,2.339400337,2.340264332,2.348035258,2.362392684,2.361198186,2.367354829,2.383912773,2.417630958,2.467651124,2.510748198,2.562453093,2.619799096,2.677692163,2.73789923,2.775788098,2.811139166,2.838592673,2.854533819,2.87019289,2.882672883,2.903178371,2.921469891,2.925748922,2.905223588,2.824727331,2.727616465,2.633580711,2.572349287,2.557906086,2.591573855,2.663182509,2.770256704,2.910301582,3.085976401,3.262322899,3.473589654,
Iceland,ISL,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,2.290858439,2.359246305,2.450063631,2.546469815,2.623906706,2.676928577,2.697489188,2.702425832,2.69542052,2.686842184,2.678394744,2.655377163,2.634874759,2.621776232,2.62222514,2.633115529,2.636068461,2.646858389,2.66833569,2.695660709,2.73426802,2.747804814,2.776170698,2.812396039,2.848114599,2.873438801,2.865466276,2.853307298,2.847395988,2.862782239,2.897146952,2.925357778,2.9673476,3.020344527,3.077621769,3.133433283,3.166497183,3.190175934,3.198393528,3.194731647,3.193433262,3.208575067,3.23393208,3.257732246,3.258317901,3.2249949,3.119075532,2.991416394,2.870407542,2.789870545,2.769879215,2.806637267,2.89667794,3.026875507,3.17683527,3.330861977,3.466735873,3.613555626,
Iceland,ISL,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,8.047063648,8.123538505,8.19709815,8.267069266,8.341167647,8.420127604,8.497358839,8.570371984,8.640299696,8.707556418,8.768943285,8.86483041,8.943499945,9.013504751,9.081799752,9.161737057,9.292708281,9.436441021,9.586437653,9.730963322,9.865855902,9.935663996,9.989754318,10.0373275,10.09095173,10.16176702,10.24921111,10.34704682,10.45140057,10.55848946,10.66643664,10.7909201,10.90482066,11.01745249,11.13156168,11.24878096,11.31704609,11.40116388,11.49308381,11.56727966,11.60982046,11.67768913,11.70438336,11.71618881,11.74666099,11.80863723,11.7866866,11.78800786,11.81759113,11.88695482,12.00519468,12.26431429,12.57933314,12.93983102,13.32190623,13.71414383,14.07538635,14.43086337,
Iceland,ISL,"Population ages 65 and above, total",SP.POP.65UP.TO,14129,14543,14950,15348,15763,16191,16618,17034,17409,17708,17927,18270,18704,19137,19545,19971,20458,20930,21429,21966,22508,22927,23362,23786,24169,24531,24924,25439,26101,26697,27181,27819,28468,29056,29612,30087,30433,30912,31496,32085,32647,33278,33653,33921,34309,35040,35806,36727,37511,37860,38181,39125,40344,41895,43614,45368,47214,49556,
Iceland,ISL,"Population ages 65 and above, male (% of total)",SP.POP.65UP.MA.ZS,7.217331515,7.305114132,7.388517099,7.469095779,7.547071239,7.635331152,7.7134567,7.785427252,7.858657104,7.925455863,7.979294664,8.058338666,8.117556159,8.158484322,8.200769224,8.243483627,8.343370787,8.44918547,8.558570507,8.665760512,8.759549117,8.819378711,8.863841452,8.895529927,8.934353229,8.986969799,9.071886272,9.174607522,9.275022715,9.380250361,9.477810662,9.61306486,9.739006571,9.856301781,9.969554595,10.08366424,10.16016718,10.24700845,10.33587232,10.40358938,10.4425712,10.51493961,10.5504555,10.5740286,10.61278224,10.67772775,10.67481074,10.68620676,10.72225312,10.8019825,10.93988177,11.23445117,11.59540628,12.00890766,12.43564164,12.86658418,13.27533382,13.66115993,
Iceland,ISL,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,6403,6609,6811,7009,7209,7421,7626,7822,8005,8149,8248,8396,8583,8756,8919,9079,9277,9461,9654,9866,10074,10253,10438,10610,10765,10910,11089,11335,11636,11912,12127,12441,12761,13044,13306,13527,13696,13920,14184,14444,14695,14994,15183,15328,15530,15887,16278,16734,17127,17327,17528,18049,18711,19540,20439,21355,22339,23538,
Iceland,ISL,"Population ages 65 and above, female (% of total)",SP.POP.65UP.FE.ZS,8.891754061,8.958591899,9.02008521,9.08537844,9.152169502,9.22415334,9.298611327,9.374487789,9.438530028,9.508597294,9.577710057,9.689831634,9.789980732,9.879886729,9.984337926,10.10241438,10.26177242,10.43841716,10.62921571,10.81298129,10.98742855,11.06985278,11.13404198,11.19328505,11.26353486,11.35054122,11.43964581,11.5336425,11.63658892,11.75038003,11.86341909,11.97502572,12.08084768,12.1868456,12.302161,12.42128936,12.48116506,12.5600776,12.65533599,12.73209358,12.78087081,12.84703552,12.86135279,12.86331296,12.88388327,12.94757598,12.90772065,12.89912451,12.9249278,12.98561403,13.09071465,13.31128385,13.5775982,13.87973641,14.21505389,14.56621615,14.88028777,15.20544909,
Iceland,ISL,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,7724,7933,8136,8342,8554,8772,8993,9213,9403,9561,9681,9874,10124,10373,10628,10895,11182,11464,11771,12098,12431,12675,12926,13175,13406,13622,13835,14107,14462,14789,15052,15374,15708,16011,16307,16560,16739,16992,17315,17640,17955,18290,18471,18596,18777,19156,19528,19990,20381,20529,20660,21080,21635,22354,23174,24011,24875,26017,
Iceland,ISL,"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,2.959973849,2.949653794,2.917289325,2.875182024,2.844126805,2.836244676,2.813286259,2.80992895,2.823291661,2.841921774,2.860045474,2.859626166,2.855042967,2.84840428,2.845576964,2.850686125,2.85752809,2.874915339,2.897359044,2.922786864,2.946212075,2.942948111,2.940425315,2.943850492,2.963135597,3.002790422,3.047574072,3.109217299,3.179347393,3.246645685,3.303997439,3.341993752,3.376525908,3.408849504,3.438451419,3.459810619,3.43521315,3.422988253,3.421109902,3.412498113,3.384661427,3.311436039,3.214083146,3.119147697,3.063568358,3.06207997,3.061339785,3.099208574,3.173081226,3.281551324,3.422934404,3.623660007,3.869002192,4.13317676,4.37545862,4.573739325,4.70131848,4.781168016,
Iceland,ISL,"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,3.298145441,3.295723796,3.271178,3.23957892,3.215540533,3.20053833,3.164182819,3.134732011,3.107685139,3.091420732,3.086041081,3.086058049,3.091522158,3.100708896,3.118347135,3.14379721,3.172637719,3.219299441,3.270805003,3.316706672,3.347380138,3.344545891,3.32881432,3.313969854,3.311565199,3.330557868,3.357582541,3.404930437,3.462092381,3.515404268,3.560994433,3.593365136,3.619469505,3.641685646,3.660447338,3.674662669,3.648226361,3.637726531,3.642938215,3.640005476,3.608850821,3.529786331,3.41215268,3.289725346,3.208062839,3.193037329,3.204153408,3.271388199,3.378702133,3.50375106,3.632989431,3.790766624,3.958896233,4.129066365,4.292640576,4.439933881,4.562765181,4.671503112,
